"pressure","profile","value"
"46805",5,"id1483_2003",1026.29967026723
"46806",6,"id1483_2003",1026.31471277842
"46807",7,"id1483_2003",1026.32492490457
"46808",8,"id1483_2003",1026.33277885674
"46809",9,"id1483_2003",1026.33682256461
"46810",10,"id1483_2003",1026.33254817293
"46811",11,"id1483_2003",1026.33578849159
"46812",12,"id1483_2003",1026.37953676226
"46813",13,"id1483_2003",1026.48446199494
"46814",14,"id1483_2003",1026.64386800604
"46815",15,"id1483_2003",1026.81656114521
"46816",16,"id1483_2003",1026.94201652942
"46817",17,"id1483_2003",1027.01353049382
"46818",18,"id1483_2003",1027.05208303899
"46819",19,"id1483_2003",1027.07028934046
"46820",20,"id1483_2003",1027.07848463984
"46821",21,"id1483_2003",1027.0833613253
"46822",22,"id1483_2003",1027.08775836535
"46823",23,"id1483_2003",1027.09245997079
"46824",24,"id1483_2003",1027.09751406461
"46825",25,"id1483_2003",1027.10278422039
"46826",26,"id1483_2003",1027.10817935541
"46827",27,"id1483_2003",1027.11365967813
"46828",28,"id1483_2003",1027.11920022522
"46829",29,"id1483_2003",1027.12478222728
"46830",30,"id1483_2003",1027.1303937911
"46831",31,"id1483_2003",1027.1360271041
"46832",32,"id1483_2003",1027.14167750267
"46833",33,"id1483_2003",1027.14734047828
"46834",34,"id1483_2003",1027.15301018595
"46835",35,"id1483_2003",1027.15868021218
"46836",36,"id1483_2003",1027.16434581257
"46837",37,"id1483_2003",1027.17000529882
"46838",38,"id1483_2003",1027.17565893285
"46839",39,"id1483_2003",1027.18130787606
"46840",40,"id1483_2003",1027.1869537298
"46841",41,"id1483_2003",1027.19259794063
"66805",5,"id1602_2003",1026.21699531736
"66806",6,"id1602_2003",1026.22352962911
"66807",7,"id1602_2003",1026.21760817561
"66808",8,"id1602_2003",1026.24612466013
"66809",9,"id1602_2003",1026.24626117247
"66810",10,"id1602_2003",1026.32124290268
"66811",11,"id1602_2003",1026.88350407014
"66812",12,"id1602_2003",1027.19540138212
"66813",13,"id1602_2003",1027.20976165443
"66814",14,"id1602_2003",1027.177663891
"66815",15,"id1602_2003",1027.17739380413
"66816",16,"id1602_2003",1027.17527392326
"66817",17,"id1602_2003",1027.18276659353
